weekend_of,sampled_at,theatre_name,tz,show_date,day_of_week,showtime,showtime_id,auditorium_type,adult_price,child_price,senior_price,convenience_fee,all_prices,raw_bytes
2026-09-18,2026-09-19T14:34:20Z,AMC Port Chester 14,ET,2026-09-18,Friday,10:00pm,146607080,IMAX with Laser at AMC,22.99,19.99,21.49,2.99,"{""Adult"":22.99,""Child"":19.99,""Senior"":21.49}",9411
2026-09-18,2026-09-19T14:34:21Z,AMC Port Chester 14,ET,2026-09-19,Saturday,3:15pm,146607125,English Spoken with Spanish Subtitles,13.19,10.79,11.99,2.69,"{""Adult"":13.19,""Child"":10.79,""Senior"":11.99}",9934
2026-09-18,2026-09-19T14:34:22Z,AMC Port Chester 14,ET,2026-09-20,Sunday,3:15pm,147204845,Open Caption (On-screen Subtitles),13.19,10.79,11.99,2.69,"{""Adult"":13.19,""Child"":10.79,""Senior"":11.99}",10178
2026-09-18,2026-09-19T14:34:23Z,AMC Altamonte Mall 18,ET,2026-09-18,Friday,7:50pm,146407582,Dolby Cinema at AMC,22.46,19.25,20.85,2.99,"{""Adult"":22.46,""Child"":19.25,""Senior"":20.85}",9384
2026-09-18,2026-09-19T14:34:25Z,AMC Altamonte Mall 18,ET,2026-09-18,Friday,9:00pm,146407621,Laser at AMC,16.04,12.83,14.43,2.69,"{""Adult"":16.04,""Child"":12.83,""Senior"":14.43}",9288
2026-09-18,2026-09-19T14:34:26Z,AMC Altamonte Mall 18,ET,2026-09-18,Friday,9:45pm,146407534,IMAX with Laser at AMC,22.46,19.25,20.85,2.99,"{""Adult"":22.46,""Child"":19.25,""Senior"":20.85}",9434
2026-09-18,2026-09-19T14:34:26Z,AMC Altamonte Mall 18,ET,2026-09-19,Saturday,3:30pm,146407615,Open Caption (On-screen Subtitles),12.83,10.26,11.55,2.69,"{""Adult"":12.83,""Child"":10.26,""Senior"":11.55}",10167
2026-09-18,2026-09-19T14:34:27Z,AMC Altamonte Mall 18,ET,2026-09-20,Sunday,3:30pm,147144412,English Spoken with Spanish Subtitles,12.83,10.26,11.55,2.69,"{""Adult"":12.83,""Child"":10.26,""Senior"":11.55}",10234
2026-09-18,2026-09-19T14:34:28Z,AMC Hialeah 12,ET,2026-09-18,Friday,10:15pm,147209430,Spanish Language Dubbed with No Subtitles,14.97,11.76,13.36,2.69,"{""Adult"":14.97,""Child"":11.76,""Senior"":13.36}",9207
2026-09-18,2026-09-19T14:34:28Z,AMC Hialeah 12,ET,2026-09-18,Friday,9:10pm,146670520,Thrills & Chills,14.97,11.76,13.36,2.69,"{""Adult"":14.97,""Child"":11.76,""Senior"":13.36}",9179
2026-09-18,2026-09-19T14:34:29Z,AMC Hialeah 12,ET,2026-09-18,Friday,11:00pm,146670448,English Spoken with Spanish Subtitles,14.97,11.76,13.36,2.69,"{""Adult"":14.97,""Child"":11.76,""Senior"":13.36}",9200
2026-09-18,2026-09-19T14:34:30Z,AMC Yulee 10,ET,2026-09-18,Friday,8:00pm,146575805,BigD at AMC,17.11,13.9,15.5,2.99,"{""Adult"":17.11,""Child"":13.9,""Senior"":15.5}",9294
2026-09-18,2026-09-19T14:34:31Z,AMC Yulee 10,ET,2026-09-18,Friday,8:30pm,147138008,Laser at AMC,13.9,10.69,12.29,2.69,"{""Adult"":13.9,""Child"":10.69,""Senior"":12.29}",9251
2026-09-18,2026-09-19T14:34:32Z,AMC Boulevard 10,ET,2026-09-18,Friday,7:30pm,146585625,BigD at AMC,16.57,13.36,14.97,2.99,"{""Adult"":16.57,""Child"":13.36,""Senior"":14.97}",9301
2026-09-18,2026-09-19T14:34:33Z,AMC Boulevard 10,ET,2026-09-18,Friday,8:30pm,146585596,Thrills & Chills,13.36,10.15,11.76,2.69,"{""Adult"":13.36,""Child"":10.15,""Senior"":11.76}",9184
2026-09-18,2026-09-19T14:34:34Z,AMC Port St Lucie 14,ET,2026-09-18,Friday,5:45pm,146427866,Open Caption (On-screen Subtitles),13.9,10.69,12.29,2.69,"{""Adult"":13.9,""Child"":10.69,""Senior"":12.29}",9154
